Unnamed: 0	clade_1	clade_2	clade_3	clade_4
g__GOTU343	0.034732548	0	0.002824915	0.156114245
g__GOTU134	0.0694154	0.16943839	0.197152619	0.151367464
g__GOTU30	0.032823127	0.158281565	0.000696301	0.141941024
g__GOTU486	0.044000387	0.123653311	0.099421386	0.141263874
g__LachnospiraceaeUCG-010	0.121293929	0.178177162	0.111822623	0.139531649
g__Ruminococcusgnavusgroup	0.054407734	0.636724675	0.086284366	0.138509212
g__GOTU482	0.084861912	0.114354891	0.161450052	0.133241764
g__Shuttleworthia	0.088614705	0.120442486	0.080373486	0.129942103
g__Desulfovibrio	0.145828895	0.059275609	0.321689021	0.128656244
g__Adlercreutzia	0.026693405	0.123573327	0.108718963	0.121516342
g__LachnospiraceaeUCG-003	0.016313446	0.07443691	0.115090265	0.117507699
g__GOTU455	0.040976443	0.012163944	0.197704245	0.114248999
g__Agathobacter	0.025109763	0.081137534	0.071554269	0.110434034
g__Catenibacterium	0.166124936	0.046255249	0.204466019	0.11001396
g__Bilophila	0.077396307	0.205196149	0.123293318	0.108878846
g__Anaeroplasma	0.043157704	0.058165335	0.167735324	0.108445695
g__GOTU323	0.046955067	0.115658023	0.13495236	0.108420932
g__GOTU479	0.015127112	0.097195939	0.035690714	0.107114463
g__Tyzzerella	0.054136889	0.20871906	0.169025334	0.098995185
g__Butyricimonas	0.096157186	0.11914148	0.167710927	0.097746831
g__Megamonas	0.219142127	0.166075888	0	0.097551429
g__GOTU348	0	0.04469382	0	0.095688585
g__LachnospiraceaeFCS020group	0.06317881	0.054726806	0.073555688	0.095124535
g__GOTU481	0.018080557	0.123407343	0.021496132	0.091713467
g__Mitsuokella	0.165885179	0.01252128	0.162839457	0.086450544
g__GOTU342	0.084007234	0	0.024753008	0.085515745
g__GOTU453	0.033043784	0.020298694	0.046551326	0.074509456
g__GOTU563	0.013532858	0.041772494	0.087281745	0.074209391
g__GCA-900066575	0.043176741	0.04464277	0.042840977	0.071297995
g__Slackia	0.034331355	0.021233401	0.089909506	0.069865577
g__GOTU340	0.023561615	0.024717654	0.119592256	0.066319099
g__Negativibacillus	0.021366741	0.112960514	0.148067991	0.065637906
g__GOTU131	0.023710551	0.045792542	0.095504303	0.06305429
g__Marvinbryantia	0.044315367	0.021184033	0.071538574	0.062466307
g__Ligilactobacillus	0.122418288	0.004867168	0.009382991	0.058004181
g__Acidaminococcus	0.061463511	0.168122203	0.054765332	0.056689302
g__Senegalimassilia	0.037474378	0.040745186	0.072887716	0.055040164
g__FamilyXIIIUCG-001	0.026758353	0.0371595	0.055387725	0.054487042
g__Bacteroidespectinophilusgroup	0.049112699	0.010672928	0.112209775	0.053913898
g__GOTU503	0.004650141	0.029169888	0.368118221	0.051927242
g__GOTU140	0.03302716	0.014860862	0.005962796	0.050847232
g__GOTU141	0.005894476	0.071821801	0.093035227	0.049427073
g__Megasphaera	0.163023511	0.109291038	0.085081903	0.049409224
g__GOTU377	0.005771279	0.04880337	0.023387428	0.046161597
g__GOTU344	0.136574473	0.002658607	0.047607051	0.04595995
g__Coprobacter	0.017344648	0.094679119	0.045720978	0.044121107
g__GOTU162	0.030758171	0.063263084	0.026412084	0.044031658
g__Enterobacter	0.041303151	0.000893792	0.011368004	0.042993825
g__Fournierella	0.052778365	0.008766128	0.059700104	0.038335289
g__FamilyXIIIAD3011group	0.046889025	0.054085302	0.16457587	0.038118839
g__GOTU11	0.000685032	0.000859231	0.047805181	0.037474313
g__Turicibacter	0.028443784	0.034823369	0.043225799	0.036892944
g__GOTU167	0.009713744	0.049600084	0.036376129	0.036344272
g__GOTU13	0.264619968	0	0.021562147	0.03431925
g__GOTU522	0.032399371	0.038174332	0.329199374	0.03414783
g__GOTU21	0.000286666	0.012052729	0.093846732	0.033869064
g__GOTU156	0.017308482	0.033013574	0.03301	0.032766422
g__Erysipelatoclostridium	0.005586809	0.105891417	0.022845382	0.032739781
g__Enterorhabdus	0.021585717	0.013353229	0.091572217	0.03156027
g__GOTU151	0	0.020726944	0	0.03128337
g__GOTU487	0.031214704	0.046649933	0.032994504	0.030516158
g__GOTU295	0.023591535	0.009733048	0.093540611	0.030161012
g__GOTU226	0.066413229	0.013064802	0.038707182	0.029893059
g__GOTU391	0.005819137	0.049617731	0.321369417	0.029496242
g__Solobacterium	0.034569554	0.002157009	0.037388131	0.029408003
g__GOTU279	0.020344292	0.012733355	0.04796675	0.027602841
g__Methanobrevibacter	0.008329804	0.015458398	0.180805443	0.027095665
g__GOTU294	0.024446038	0.009486639	0.050309642	0.026505924
g__Succiniclasticum	0.016032856	0.00465991	0.034650879	0.026412801
g__DefluviitaleaceaeUCG-011	0.013195937	0.028523581	0.045614793	0.026338006
g__UBA1819	0.00810857	0.09405765	0.149665812	0.026133935
g__Olsenella	0.013513221	0.025281432	0.027364353	0.025503524
g__Peptococcus	0.004784241	0.015002638	0.05465413	0.025466627
g__Haemophilus	0.022299845	0.04878033	0.00941832	0.02543113
g__Klebsiella	0.004689496	0.050081282	0.039619412	0.025288293
g__GOTU201	0	0	0.030802708	0.024862821
g__GOTU157	0.011512045	0.023890337	0.03546913	0.024544996
g__GOTU17	0	0	0.02327346	0.024380366
g__GOTU567	0.002480423	0.014466632	0.03326077	0.023816118
g__GOTU122	0.011556096	0.004909014	0.100615604	0.021251873
g__Veillonella	0.00604153	0.06623651	0.007602406	0.020919756
g__Frisingicoccus	0.000860645	0.042103477	0.029315293	0.020247272
g__GOTU291	0.005429725	0.015330494	0.061529522	0.019991958
g__GOTU516	0.011472429	0.021540251	0.06683553	0.01996689
g__Eggerthella	0.001034331	0.056176458	0.018057802	0.01951172
g__GOTU284	0.035811926	0.007783975	0.034365156	0.019498712
g__GOTU20	0	0.007151225	0	0.019258255
g__GOTU218	0.005798315	0.014859421	0.046128813	0.018683502
g__GOTU460	0.080322206	0.003437175	0.402741445	0.018645679
g__Enterococcus	0.005463711	0.010785922	0.010569574	0.0183145
g__GOTU423	0.024502567	0.015149371	0.053443492	0.017749234
g__UCG-008	0.027584795	0.003122464	0.037757997	0.017476294
g__GOTU239	0.001895681	0.092800251	0.054005497	0.017472892
g__GOTU36	0	0.008799594	0	0.017372224
g__GOTU428	0.003037612	0.001062527	0.005480114	0.017012611
g__PrevotellaceaeUCG-003	0.080564218	0	0.034058009	0.016639632
g__GOTU275	0.007461789	0.007303742	0.079013915	0.016542809
g__Howardella	0.01641479	0.006620733	0.037727749	0.016530081
g__DTU089	0.004471946	0.043586504	0.030235522	0.016347514
g__GOTU378	0.138506641	0.011271261	0.099135514	0.016326658
g__GOTU463	0.016307166	0.006795425	0.017503591	0.016122579
g__GOTU33	0	0.000472238	0.013103406	0.015386375
g__Citrobacter	0.019623951	0.0094859	0.018049626	0.014731003
g__Libanicoccus	0.013671442	0.00060006	0.023766421	0.014461625
g__GOTU214	0.020204507	0.02422922	0.020803819	0.014381794
g__GOTU349	0.003621915	0.032008274	0.039256381	0.014085795
g__GOTU518	0.008468338	0.008183063	0.022575985	0.013683434
g__GOTU408	0	0	0	0.013519154
g__GOTU380	0.137909283	0.01297577	0.06801565	0.013141843
g__GOTU136	0	0.047047031	0	0.012566518
g__GOTU130	0.015349595	0.01874372	0.025326736	0.012229257
g__Victivallis	0.018851024	0.014461876	0.033929623	0.01212065
g__GOTU459	0.002767145	0.001136022	0.007976094	0.012065065
g__Lactococcus	0.003006476	0.015584139	0.01133732	0.011794993
g__GOTU115	0.009243142	0.011039439	0.042570577	0.011774612
g__GOTU492	0.022832923	0.018495103	0.058749885	0.011617983
g__GOTU203	0	0	0	0.011397983
g__GOTU520	0.002989964	0.003796149	0.024005398	0.011188172
g__GOTU328	0.004649626	0.021267317	0.002133339	0.010878053
g__Coprobacillus	0	0.005776247	0.02427458	0.010770737
g__Limosilactobacillus	0.013175064	0.006351724	0.00063194	0.010552669
g__Eisenbergiella	0.001939255	0.084403902	0.077183504	0.010167672
g__GOTU81	0.004808204	0.006235838	0.152091348	0.009892986
g__Gordonibacter	0.000729247	0.014624088	0.012510151	0.009296031
g__GOTU298	0.01371542	0.000554469	0.058940665	0.009283737
g__GOTU289	0.001448571	0.007465309	0.074028155	0.009196503
g__GOTU370	0.00023526	0.008972487	0.004052648	0.009177955
g__PrevotellaceaeGa6A1group	0.016183054	0.004900428	0.047667971	0.009072006
g__GOTU542	0.003927464	0.004045014	0.028616234	0.008999788
g__GOTU468	0.001670566	5.14E-05	0.047643469	0.008730121
g__GOTU155	0.002264636	0.028972439	0.010076966	0.008513213
g__Eubacteriumbrachygroup	0.003023834	0.003270871	0.028906997	0.008298375
g__UCG-009	0.018742891	0.005994195	0.055575741	0.008174699
g__Sellimonas	0.00283569	0.036616066	0.010742838	0.008129412
g__GOTU336	0	0	0.015437198	0.008098582
g__Romboutsia	0.000490573	0.003090703	0.001240848	0.007866108
g__GOTU386	0	0.002147458	0.001452779	0.007451932
g__GOTU401	0.015543097	0.002819968	0.012764224	0.007440553
g__GOTU216	0	0.002440989	0.006716291	0.007390067
g__GOTU570	0.004306385	0.005694025	0.032995259	0.007360104
g__LachnospiraceaeNK4B4group	0	0.003334386	0.009887021	0.0073147
g__GOTU293	0.007696595	0.007316156	0.061253437	0.007292755
g__GOTU15	0	0.00165834	0	0.007169006
g__GOTU139	0.008571403	0.003181031	0.019224166	0.007146737
g__GOTU158	0.017583399	0.001552231	0.011717726	0.00701848
g__GOTU421	0.004748851	0.001145234	0.008873606	0.006849982
g__GOTU207	0.004922365	0.002689807	0.013784353	0.006840898
g__Holdemania	0.00648002	0.018709246	0.003803313	0.00679523
g__CAG-873	0.077346587	0	0.047606173	0.00677938
g__GOTU508	0.003829897	0.015763736	0.009250828	0.0067444
g__GOTU138	0.007715304	0.004436726	0.016733866	0.006730915
g__GOTU457	0.002677716	0.001171065	0.005948876	0.006587761
g__Paludicola	0.001890621	0.01314012	0.020765994	0.006541438
g__GOTU245	0.019071433	0.002806208	0.015383601	0.006535001
g__GOTU261	0.006603129	0.007257615	0.004577617	0.006415111
g__GOTU37	0.000376798	0	0.00431895	0.006397485
g__GOTU244	0.077599829	0.003070155	0.142800821	0.00614157
g__Mailhella	0.003277345	0.000279882	0.008370841	0.005654435
g__GOTU514	0	0.006998085	0.018601032	0.005501472
g__GOTU561	0.000412258	0.001203879	0.01041626	0.005474401
g__GOTU170	0.008005368	0	0.009704638	0.005425563
g__GOTU19	0	0	0	0.005304878
g__CoriobacteriaceaeUCG-003	0.004066233	0	0.018067098	0.005297204
g__Lactobacillus	0.008017279	0.011926206	0.006157794	0.005260541
g__GOTU351	0	0.006125535	0.01033248	0.005047646
g__GOTU233	0	0.007104164	0.0141174	0.005026366
g__UCG-004	0.03190006	0.006282513	0.024749524	0.005022516
g__GOTU264	0.004476859	0.003000119	0.004909407	0.004936398
g__GOTU159	0.003335832	0.005058543	0.010435861	0.004868249
g__GOTU288	0.009854314	0.000345285	0.018073166	0.004808574
g__GOTU480	0.001821289	0	0.000400728	0.004799813
g__Salmonella	0	0.000611044	0	0.004653832
g__Raoultella	0	0.0014596	0.01641369	0.004584596
g__Hungatella	0.000968173	0.019602471	0.040898454	0.004571393
g__GOTU280	0.011335059	0.003599037	0.019391485	0.004493339
g__Allisonella	0.014107245	0.002891051	0.00166697	0.004288395
g__GOTU403	0	0.001241997	0.03648431	0.004278278
g__GOTU283	0.002478727	0.002211932	0.031452744	0.004262044
g__GOTU438	0.005455069	0.000515686	0.002300469	0.004076437
g__GOTU273	0.01115247	0.008615234	0.015263585	0.004040421
g__GOTU511	0.020232407	0.002057303	0.035061326	0.003902685
g__GOTU413	0.004068996	0.001956437	0.020293536	0.003863649
g__GOTU217	0.00074663	0.003560719	0.006949043	0.00375656
g__GOTU499	0.002954679	0.011600691	0.056020524	0.003752531
g__Oribacterium	0.017050761	0.002080994	0.010646437	0.003711585
g__Eubacteriumnodatumgroup	0.000504169	0.005087085	0.005349327	0.003659271
g__GOTU493	0.016704986	0.004844022	0.022637025	0.003624691
g__Fusobacterium	0.016559243	0.075341104	0.01295364	0.003618976
g__GOTU402	0.004270299	0.001462509	0.01860964	0.003603818
g__GOTU437	0.003842305	0.00226752	0.024805455	0.003535884
g__Ruminiclostridium	0	0.008948315	0.044984313	0.003532986
g__GOTU278	0.02834749	0.000786202	0.111349329	0.003471634
g__GOTU394	0.00661612	0.00273376	0.045182215	0.003422543
g__GOTU433	0.002521179	0.000184707	0.001644101	0.003410854
g__GOTU163	0.019428958	0.0023173	0.015939538	0.003264006
g__GOTU149	0	0.00542713	0.028412849	0.003196563
g__GOTU496	0	0.002496268	0.001354774	0.003095249
g__GOTU246	0.000973115	0.001619311	0.006379965	0.003064495
g__GOTU285	0.007806552	0.000712201	0.007719036	0.003049378
g__GOTU286	0.000749359	0.000726511	0.053510989	0.003048059
g__GOTU505	0.000731165	0.001779245	0.019951502	0.002978979
g__Elusimicrobium	0.017230432	0.001662156	0.053143245	0.002959741
g__GOTU240	0	0	0	0.002930041
g__GOTU18	0	0	0	0.002911547
g__GOTU258	0	5.65E-05	0.006040837	0.002894773
g__Faecalitalea	0	0.027352374	0.009030621	0.002863317
g__GOTU32	0	0.03587004	0	0.002824647
g__GOTU12	0	0	0	0.002823421
g__GOTU161	0.002708092	0.000949752	0.004055473	0.002816893
g__GOTU73	0	0	0	0.002787296
g__GOTU537	0.046561096	0.00085044	0.107808729	0.002784727
g__GOTU369	0.002678283	0.001763817	0.005603121	0.002765619
g__GOTU177	0.000412129	0.002008659	0.001651797	0.002763837
g__GOTU188	0.001272978	0	0.005824391	0.002625639
g__GOTU440	0	0.000179369	0	0.002601341
g__GOTU489	0	0.000272617	0	0.002425805
g__GOTU368	0.00070771	0.003474347	0.003857866	0.002404335
g__GOTU2	0.000674423	0	0.00286661	0.002355121
g__GOTU40	0	0.001147064	0	0.002273681
g__Lacticaseibacillus	0	0.005440435	0.001137224	0.00224814
g__GOTU367	0.0004077	0.00312951	0.002129406	0.002224923
g__GOTU382	0	0.006964362	0	0.002201795
g__GOTU297	0.002902398	0	0.018123636	0.002192975
g__GOTU431	0.013321326	0.001912419	0.01508441	0.002177398
g__Anaerotruncus	0.001384411	0.017130168	0.031905333	0.002164792
g__Oxalobacter	0.002545225	0.00500343	0.010430889	0.002127923
g__Hafnia-Obesumbacterium	0	0.003249277	0.009815405	0.002090163
g__GOTU467	0.00383681	0	0	0.002085543
g__GOTU327	0.001056755	0.007431096	0.021743436	0.002076609
g__GOTU66	0	0	0.005477994	0.002028787
g__GOTU179	0.000510156	0.000779798	0.004713293	0.002019224
g__Enorma	0.001343128	0.013707451	0.022732649	0.001999622
g__GOTU552	0.001112244	0.002463206	0.026863061	0.001975609
g__Cloacibacillus	0.002675218	0.001179871	0.071871265	0.001948586
g__GOTU418	0.000401643	0.000670851	0.004929331	0.001931444
g__GOTU51	0	0	0	0.001916175
g__Oscillospira	0.000939308	0.016865101	0.002255171	0.001898108
g__GOTU142	0.001393704	0.001572498	0.011805248	0.001889051
g__GOTU125	0.001876647	0	0.011529637	0.001811995
g__GOTU186	0.001119721	0.000428283	0.009064699	0.00180978
g__GOTU287	0	0.000440349	0.002810134	0.001809613
g__Eubacteriumfissicatenagroup	0.001271305	0.004016939	0.003000918	0.001744811
g__GOTU422	0.002094259	0	0	0.001742092
g__GOTU387	0	0	0.01176806	0.001740215
g__GOTU300	0	0.001755444	0.004183874	0.001715497
g__GOTU590	0	0.001043694	0.008119762	0.001685216
g__GOTU148	0.000974533	0.005222944	0.008325225	0.00166188
g__GOTU566	0.003088884	0	0.013560296	0.001660157
g__GOTU206	0	0.00094813	0.005291275	0.001632092
g__GOTU274	0.000764586	0.002120209	0.010974922	0.001603336
g__GOTU430	0	0.001751135	0.00269539	0.001602739
g__GOTU59	0	0	0	0.001577783
g__Dielma	0.000452337	0.001991058	0.002939358	0.001566237
g__GOTU215	0	0	0	0.001532682
g__GOTU345	0.001575878	0	0	0.001502447
g__GOTU425	0	0.00089491	0.015170587	0.001501557
g__GOTU477	0.001680751	0.001059879	0.005118813	0.001499502
g__GOTU308	0.035550213	0.009203875	0.02934731	0.001485424
g__GOTU497	0	0.003343058	0.014799407	0.001458794
g__GOTU399	0	0.001727765	0.016192696	0.001458258
g__Clostridiuminnocuumgroup	0	0.020282418	0.024163556	0.001428316
g__GOTU126	0	0.000192991	0.002078211	0.001410947
g__GOTU484	0	0.004071357	0	0.001385636
g__GOTU166	0.000273526	0.008418616	0	0.001355361
g__GOTU256	0	0.000204918	0.001880549	0.001352335
g__GOTU185	0	0.001773615	0.00106807	0.001330193
g__GOTU581	0.003319407	0	0	0.001312749
g__GOTU439	0	0.000172745	0.001086195	0.001308294
g__GOTU190	0	0.002332736	0.004254561	0.001244891
g__GOTU535	0.00085839	0.006276561	0.005088665	0.001220423
g__GOTU568	0	0	0	0.001219646
g__GOTU305	0.002252915	0.001633483	0.02682631	0.001207916
g__GOTU225	0	0.0015705	0.005352297	0.001191348
g__GOTU436	0	0.0004965	0	0.001189622
g__GOTU557	0.000501159	0.000935986	0.00522773	0.001174409
g__Methanosphaera	0	0	0.010463648	0.001171537
g__UCG-007	0.00023994	0.000682648	0.004999642	0.001170495
g__GOTU389	0	0.000173802	0	0.001150207
g__GOTU375	0	0.004631414	0.026161256	0.001147671
g__GOTU579	0	0	0	0.001122707
g__GOTU448	0	0.001458253	0	0.001101683
g__Rikenella	0	0.000280722	0.002321083	0.001089917
g__GOTU132	0	0	0.00362609	0.001056716
g__Pygmaiobacter	0	0	0	0.001027167
g__Latilactobacillus	0	0.000417844	0.002107539	0.001014127
g__GOTU585	0	0	0	0.000992502
g__Eubacterium	0	8.59E-05	0.00096064	0.000979277
g__GOTU146	0	0.002468221	0.00089049	0.00096665
g__Mogibacterium	0.000164033	0.000232947	0.000628395	0.000966629
g__GOTU456	0	0	0.001429499	0.000949343
g__GOTU528	0	0	0	0.000927579
g__GOTU303	0.000749359	6.91E-05	0.001216764	0.000889285
g__GOTU10	0	0	0.00095195	0.000854878
g__GOTU223	0	0.00366462	0.001703693	0.000851148
g__Anaerovibrio	0.041511965	0	0	0.000844981
g__GOTU494	0	0.002102232	0.003987544	0.000837088
g__GOTU475	0	0	0	0.00082106
g__GOTU266	0.000311109	0.000825514	0.002922581	0.00080081
g__GOTU144	0	0.000467306	0	0.000796305
g__GOTU385	0.006912449	0.00108373	0.001187469	0.000794307
g__GOTU314	0	0	0	0.000786917
g__GOTU236	0	0.000174088	0	0.000785647
g__GOTU118	0	0.000568875	0.003135057	0.000764433
g__GOTU419	0.00265831	0.000778965	0.001499033	0.000761949
g__LachnospiraceaeNK3A20group	0.022223356	0	0	0.000760539
g__GOTU324	0	0.000204764	0.000309762	0.000752686
g__GOTU14	0	0	0.002137215	0.000725821
g__GOTU350	0	0	0	0.000711563
g__GOTU326	0.001117127	0.001173445	0.003530469	0.000706302
g__GOTU133	0.000304423	0.000439498	0.000962846	0.000700239
g__GOTU353	0.003041937	0	0	0.000695144
g__GOTU471	0	0.001529278	0.004922006	0.00068553
g__GOTU442	0	0.000510723	0.000274956	0.000656966
g__GOTU512	0	0.00167064	0.002481153	0.000645583
g__GOTU550	0	0	0.000541452	0.000633966
g__GOTU322	0.003420228	0	0.002488352	0.000628959
g__GOTU208	0	0.000398486	0	0.000617155
g__GOTU227	0.00073334	0.001257306	0.011820221	0.000597421
g__GOTU296	0.000144509	0.001102001	0.002000787	0.000589136
g__GOTU249	0.001008921	0.000142533	0.000617505	0.000587862
g__GOTU504	0	0.001808983	0.00356151	0.00058653
g__GOTU544	0.000291406	0	0	0.00058328
g__GOTU77	0	0	0	0.000570915
g__GOTU44	0	0.001567412	0	0.000570915
g__GOTU588	0	0.003601302	0.008883879	0.000567628
g__GOTU75	0	0	0	0.000554742
g__GOTU420	0.000267035	0.000209357	0.00254183	0.000553052
g__GOTU447	0.008220081	0.000795587	0.010079925	0.000543857
g__GOTU564	0	0.000334798	0.001069935	0.000540892
g__LachnospiraceaeUCG-008	0	0.001573537	0.001039148	0.000537315
g__GOTU427	0.001194261	0.002224758	0.001711201	0.00051901
g__GOTU16	0	0	0	0.00050846
g__GOTU526	0.000120888	0.00124743	0.006638748	0.00049194
g__GOTU519	0	0	0	0.000489504
g__GOTU71	0	0.003017638	0	0.000487599
g__Anaerofilum	0.000266393	0.000747325	0.001128166	0.000479765
g__GOTU196	0	0.000969449	0.00042249	0.000477372
g__Peptoniphilus	0	0.000126239	0.00066934	0.000462004
g__GOTU500	0.001260746	0.000448423	0.002500063	0.000460924
g__GOTU429	0.000623083	0.000118744	0.002944353	0.000456831
g__ErysipelotrichaceaeUCG-006	0	0.000258795	0.00099571	0.000455286
g__Pediococcus	0.000556288	0.00071575	0	0.000455154
g__GOTU414	0.005125102	0	0.004826471	0.000454128
g__GOTU521	0	0	0	0.000452042
g__GOTU175	0.000164033	0.000571151	0	0.000447349
g__GOTU395	0	0	0	0.000445075
g__GOTU311	0	0.000116884	0.00024746	0.000441506
g__GOTU424	0.001527364	0.000963612	0.007435508	0.00043865
g__GOTU444	0.000146052	0	0	0.000436259
g__GOTU410	0	0	0	0.000435603
g__GOTU465	0	0.000184824	0	0.000433867
g__GOTU45	0	0	0	0.000417008
g__GOTU282	0	0	0	0.000394933
g__GOTU478	0.001384956	0	0	0.000386342
g__GOTU572	0	0.00024035	0.003511267	0.000383059
g__GOTU152	0	0.000864565	0.000557656	0.000370717
g__GOTU411	0.000400553	0	0	0.000367767
g__GOTU189	0.000338175	0.001565079	0.000580892	0.000361463
g__LachnospiraceaeUCG-002	0.000368686	0.002302258	0.001668501	0.000360544
g__GOTU577	0	3.41E-05	0.001253673	0.000359733
g__GOTU135	0	6.09E-05	0.000116178	0.000356547
g__Anaerococcus	0	0	0.000699604	0.000355932
g__GOTU451	0	0	0.003061786	0.000353064
g__GOTU192	0	0.00063262	0	0.000346003
g__GOTU338	0	0	0	0.000342549
g__Porphyromonas	0	0.006314023	0.003660078	0.000336158
g__GOTU112	0	0	0.000232357	0.000330481
g__GOTU449	0	0	0.000950421	0.000327799
g__GOTU174	0.001068645	0.002186994	0.000374501	0.00032375
g__Pyramidobacter	0	0.000631443	0.001057722	0.000315565
g__GOTU200	8.63E-05	7.42E-05	0.000531915	0.000303039
g__Granulicatella	0	0.000471404	0	0.000297413
g__Anaerofustis	0	0.000272591	0.00013991	0.000294739
g__GOTU49	0	0	0	0.000291921
